Oligo	Referencia	Strand
FORWARD	KX791996	minus
FORWARD	KX791926	minus
FORWARD	KX791863	minus
FORWARD	L00036	minus
FORWARD	MK952185	plus
FORWARD	MK952184	plus
FORWARD	MK952183	plus
FORWARD	MN159383	plus
FORWARD	MN159382	plus
FORWARD	MN159381	plus
FORWARD	MN159380	plus
FORWARD	MN159379	plus
FORWARD	MN159378	plus
FORWARD	MN159377	plus
FORWARD	MN159376	plus
FORWARD	MN166413	plus
FORWARD	MN136524	plus
FORWARD	MN136523	plus
FORWARD	MH925774	plus
FORWARD	MH813994	plus
FORWARD	MH813993	plus
FORWARD	MH813992	plus
FORWARD	MH813991	plus
FORWARD	MH813990	plus
FORWARD	MH813989	plus
FORWARD	MH813988	plus
FORWARD	MH813987	plus
FORWARD	MH813986	plus
FORWARD	MH813985	plus
FORWARD	MH813984	plus
FORWARD	MH813983	plus
FORWARD	MH813982	plus
FORWARD	MH813981	plus
FORWARD	MH999850	plus
FORWARD	MH999849	plus
FORWARD	MH999847	plus
FORWARD	MH999844	plus
FORWARD	MH999843	plus
FORWARD	MG999899	plus
FORWARD	MG999896	plus
FORWARD	MG999895	plus
FORWARD	MG999894	plus
FORWARD	MG999891	plus
FORWARD	MG999889	plus
FORWARD	MG999888	plus
FORWARD	MG999886	plus
FORWARD	MG999885	plus
FORWARD	MG999879	plus
FORWARD	MG999878	plus
FORWARD	MG999876	plus
FORWARD	MG999875	plus
FORWARD	MG999871	plus
FORWARD	MG999869	plus
FORWARD	MG999868	plus
FORWARD	MG999866	plus
FORWARD	MG999865	plus
FORWARD	MG999864	plus
FORWARD	MG999862	plus
FORWARD	MG999861	plus
FORWARD	MG999859	plus
FORWARD	MG999857	plus
FORWARD	MG999855	plus
FORWARD	MG999854	plus
FORWARD	MG999853	plus
FORWARD	MG999851	plus
FORWARD	MG999850	plus
FORWARD	MG999849	plus
FORWARD	MG999842	plus
FORWARD	MG999841	plus
FORWARD	MH160387	plus
FORWARD	MH160385	plus
FORWARD	MH160382	plus
FORWARD	MH160380	plus
FORWARD	MH160377	plus
FORWARD	MH160370	plus
FORWARD	MH160366	plus
FORWARD	MH160365	plus
FORWARD	MH160361	plus
FORWARD	MH160359	plus
FORWARD	KY828129	plus
FORWARD	KY828128	plus
FORWARD	KY828127	plus
FORWARD	KY828126	plus
FORWARD	KY828125	plus
FORWARD	KM222726	plus
FORWARD	KM222725	plus
FORWARD	KM222724	plus
FORWARD	KX946970	plus
FORWARD	KX791966	plus
FORWARD	LT594457	plus
FORWARD	LT594192	plus
FORWARD	LT594112	plus
FORWARD	LT594110	plus
FORWARD	LT594109	plus
FORWARD	LT594106	plus
FORWARD	LT594105	plus
FORWARD	LT608134	plus
FORWARD	LT608134	plus
FORWARD	KX265046	plus
FORWARD	KX265045	plus
FORWARD	KX265043	plus
FORWARD	KX265042	plus
FORWARD	KX265041	plus
FORWARD	KX265040	plus
FORWARD	KX265038	plus
FORWARD	KX265037	plus
FORWARD	KX265034	plus
FORWARD	KX265031	plus
FORWARD	KX265029	plus
FORWARD	KX265028	plus
FORWARD	KX265026	plus
FORWARD	KX265024	plus
FORWARD	KX265022	plus
FORWARD	LT576871	plus
FORWARD	LT576870	plus
FORWARD	LT576869	plus
FORWARD	LT576868	plus
FORWARD	LT576866	plus
FORWARD	KT869134	plus
FORWARD	KU310659	plus
FORWARD	KU310658	plus
FORWARD	KU310657	plus
FORWARD	KT425109	plus
FORWARD	KT425107	plus
FORWARD	KR052507	plus
FORWARD	KR011312	plus
FORWARD	KR011310	plus
FORWARD	KR011308	plus
FORWARD	KR011303	plus
FORWARD	KR011297	plus
FORWARD	KR011296	plus
FORWARD	KR011293	plus
FORWARD	KR011289	plus
FORWARD	KR011288	plus
FORWARD	KR011287	plus
FORWARD	KR011286	plus
FORWARD	KR011285	plus
FORWARD	KR011283	plus
FORWARD	KR011280	plus
FORWARD	KR011278	plus
FORWARD	KR011274	plus
FORWARD	ON960059	plus
FORWARD	ON960058	plus
FORWARD	ON960057	plus
FORWARD	ON960056	plus
FORWARD	ON007164	plus
FORWARD	ON007162	plus
FORWARD	ON007160	plus
FORWARD	ON007159	plus
FORWARD	ON007156	plus
FORWARD	ON007152	plus
FORWARD	ON007148	plus
FORWARD	ON007147	plus
FORWARD	ON007141	plus
FORWARD	ON007135	plus
FORWARD	ON007134	plus
FORWARD	ON007145	plus
FORWARD	ON007138	plus
FORWARD	ON007137	plus
FORWARD	OL638991	plus
FORWARD	OL638990	plus
FORWARD	OK030826	plus
FORWARD	AB618031	plus
FORWARD	JX142173	plus
FORWARD	JQ730035	plus
FORWARD	JN420340	plus
FORWARD	JN420339	plus
FORWARD	JN420338	plus
FORWARD	JN400093	plus
FORWARD	BK012101	plus
FORWARD	GQ898901	plus
FORWARD	GQ898899	plus
FORWARD	GU734772	plus
FORWARD	GU734771	plus
FORWARD	FJ593289	plus
FORWARD	DQ889502	plus
FORWARD	X14112	plus
FORWARD	AJ626523	plus
FORWARD	AJ626521	plus
FORWARD	AJ626516	plus
FORWARD	AJ626513	plus
FORWARD	AJ626508	plus
FORWARD	AJ626506	plus
FORWARD	AJ626503	plus
FORWARD	AJ626502	plus
FORWARD	AJ626501	plus
FORWARD	AJ626499	plus
FORWARD	AF117122	plus
FORWARD	AF117121	plus
FORWARD	AF117120	plus
FORWARD	AF117119	plus
FORWARD	AF120934	plus
FORWARD	AY240830	plus
FORWARD	AY240823	plus
FORWARD	AY240821	plus
FORWARD	AY240801	plus
FORWARD	AY240812	plus
FORWARD	AY240811	plus
FORWARD	AY240808	plus
FORWARD	AY240807	plus
FORWARD	AY240805	plus
FORWARD	AY240802	plus
FORWARD	AY240651	plus
FORWARD	AY240799	plus
FORWARD	AY240798	plus
FORWARD	AY240797	plus
FORWARD	AY240794	plus
FORWARD	AY240791	plus
FORWARD	AY240790	plus
FORWARD	AY240789	plus
FORWARD	AY240787	plus
FORWARD	AY240786	plus
FORWARD	AY240659	plus
FORWARD	AY240657	plus
FORWARD	AY240655	plus
FORWARD	AY240648	plus
FORWARD	AY240646	plus
FORWARD	X02138	plus
